epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31692.6,0.98808,0.57796,0.91696,0.79473,0.52374,0.60286,0.37626,1.10305,0.64342,0.98153,0.00056678,0.00056678,0.00056678
43,32472.5,0.99364,0.57782,0.92,0.74773,0.52802,0.59719,0.37596,1.1045,0.64216,0.98324,0.000539275,0.000539275,0.000539275
44,33245.6,0.964,0.56082,0.91127,0.75633,0.52721,0.60203,0.38088,1.07825,0.63863,0.96969,0.000511769,0.000511769,0.000511769
45,34018.8,0.99536,0.57777,0.91877,0.78591,0.50645,0.57952,0.36727,1.11412,0.64644,0.98237,0.000484263,0.000484263,0.000484263
46,34804.6,0.97857,0.56615,0.91343,0.77191,0.51554,0.59231,0.37409,1.09636,0.6398,0.98017,0.000456758,0.000456758,0.000456758
47,35582.5,0.97058,0.56303,0.9141,0.75692,0.51891,0.59055,0.37159,1.11186,0.63976,0.98517,0.000429253,0.000429253,0.000429253
48,36362.1,0.96998,0.55988,0.91139,0.80202,0.5118,0.59967,0.38021,1.09019,0.63282,0.97187,0.000401747,0.000401747,0.000401747
49,37147.2,0.96126,0.55364,0.90736,0.78088,0.52243,0.59751,0.37982,1.09547,0.6319,0.98127,0.000374242,0.000374242,0.000374242
50,37939.6,0.95553,0.54945,0.90567,0.75611,0.5302,0.59122,0.3755,1.09818,0.64285,0.9796,0.000346736,0.000346736,0.000346736
51,38564.2,0.99916,0.57491,0.91985,0.79489,0.51765,0.59066,0.37215,1.09758,0.64281,0.97821,0.000319231,0.000319231,0.000319231
52,39188.5,0.96982,0.55342,0.90949,0.7663,0.52302,0.5883,0.37486,1.08117,0.62604,0.96888,0.000291725,0.000291725,0.000291725
53,39816.2,0.9634,0.55268,0.90489,0.7927,0.50742,0.58094,0.35964,1.13224,0.65613,0.99116,0.00026422,0.00026422,0.00026422
54,40440.5,1.06206,0.62374,0.93967,0.77355,0.49779,0.57161,0.35381,1.1485,0.66606,0.99573,0.000236714,0.000236714,0.000236714
55,41067.9,1.03476,0.60252,0.93532,0.76596,0.52264,0.59197,0.37266,1.1011,0.64475,0.97424,0.000209209,0.000209209,0.000209209
56,41692.6,0.97438,0.55877,0.91142,0.75339,0.539,0.5953,0.37519,1.09508,0.62744,0.97214,0.000181703,0.000181703,0.000181703
57,42319.8,0.96625,0.55738,0.90917,0.75342,0.51737,0.57738,0.36612,1.11648,0.65354,0.98478,0.000154198,0.000154198,0.000154198
58,42937.2,1.04319,0.60828,0.93438,0.7472,0.49389,0.56191,0.3509,1.1433,0.66846,0.99121,0.000126692,0.000126692,0.000126692
